"ID","Country","City","ShoppingCenter","LatitudeLongitude","CODE"
1,"RU","Moscow","Торговый центр Афимолл","55.749095755995555, 37.53978974164371","AA"
2,"RU","Moscow","Торговый центр Авиапарк","55.79037955305576, 37.530887598086004","AB"
3,"RU","Moscow","Торговый центр Европейский","55.74476409803419, 37.56648378406903","AC"
4,"RU","Moscow","Торговый центр Вегас","55.825426674792, 37.388333223268205","AD"
5,"RU","Moscow","Торговый центр Гранд Юг","55.60964751220423, 37.60536233617647","AE"
6,"RU","Moscow","Торговый центр Хорошо","55.77714615406564, 37.524018399937944","AF"
7,"RU","Moscow","Торговый центр Метрополис","55.82135307228741, 37.49872362217221","AG"
8,"RU","Moscow","Торговый центр Парус","55.8399838063532, 37.57585273857724","AH"
9,"RU","Moscow","Торговый центр Румер","55.710137639546446, 37.6547166705755","AI"
10,"RU","Moscow","Торговый центр Люблинское поле","55.67861596175177, 37.78120868406568","AJ"
11,"RU","Moscow","Торговый центр Европолис. Золотой Вавилон","55.84582191160608, 37.66121902454912","AK"
12,"RU","Moscow","Торговый центр Конструктор","55.58263956320115, 37.711331955224864","AL"
13,"RU","Moscow","Торговый центр Город Лефортово","55.74763416131038, 37.70731359200269","AM"
14,"RU","Moscow","Торговый центр Мега Теплый стан","55.60437097082369, 37.49232734966785","AN"
15,"RU","Moscow","Торговый центр Колумбус","55.612244866330876, 37.60787438962042","AO"
16,"RU","Moscow","Торговый центр Щука","55.80958736650166, 37.46537304544972","AP"
17,"RU","Moscow","Торговый центр Старт","55.79026167750932, 37.54495303248012","AR"
18,"RU","Moscow","Торговый центр Принц плаза","55.61890925331699, 37.50704916130771","AS"
19,"RU","Moscow","Торговый центр Цветной","55.77132598675537, 37.62086752454538","AT"
20,"RU","Moscow","Торговый центр Спектр","55.62155350554159, 37.509079372946715","AU"
21,"RU","Moscow","Торговый центр Океания","55.7278720230893, 37.476306974804835","AV"
22,"RU","Moscow","Торговый центр Кунцево плаза","55.76626551951, 37.59495209788749","AW"
23,"RU","Moscow","Торговый центр Авеню","55.66323040654051, 37.48156813988429","AX"
24,"RU","Moscow","Торговый центр Садовод","55.66169122537639, 37.82725346381854","AY"
25,"RU","Moscow","Торговый центр Черёмушки","55.67039273381729, 37.55328320311506","AZ"
26,"RU","Moscow","Торговый центр Румянцево","55.635997973803356, 37.43685893785303","BA"
27,"RU","Moscow","Торговый центр Калейдоскоп","55.850721380837165, 37.44625582269661","BB"
28,"RU","Moscow","Торговый центр Гудзон","55.6645993023078, 37.62747592639273","BC"
29,"RU","Moscow","Торговый центр Отрада","55.876044097810315, 37.332732886451005","BD"
30,"RU","Moscow","Торговый центр Райкин Плаза","55.79561395927641, 37.61728641898853","BE"
31,"RU","Moscow","Торговый центр Эдельвейс","55.75193647835409, 38.01278865009979","BF"
32,"RU","Moscow","Торговый центр Атриум","55.75774498913409, 37.658898112320024","BG"
33,"RU","Moscow","Торговый центр Панорама","55.73802606536175, 37.8275704452031","BH"
34,"RU","Moscow","Торговый центр Эдельвейс","55.7523229047249, 38.01193034321214","BK"
35,"RU","Moscow","Торговый центр Декоратор","55.729974313724256, 37.735207845445835","BL"
36,"RU","Moscow","Торговый центр Гульден","55.79900617164986, 37.59328757724943","BM"
37,"RU","Moscow","Торговый центр Реутов парк","55.75225162786937, 37.888214814758044","BN"
38,"RU","Moscow","Торговый центр Остров мечты","55.69464144987941, 37.6771127724274","BO"
39,"RU","Moscow","Торговый центр Ленинградский","55.80465938281341, 37.512771586055884","BP"
40,"RU","Moscow","Торговый центр Водный","55.84030698560894, 37.491818988301965","BR"
41,"RU","Moscow","Торговый центр Ривьера","55.705112534597305, 37.641201622689536","BS"
42,"RU","Moscow","Торговый центр Щелковский","55.811272523027164, 37.80014346810795","BT"
43,"RU","Moscow","Торговый центр Ладья","55.84666006203439, 37.35853485153261","BU"
44,"RU","Moscow","Торговый центр Южные ворота","55.61906695922875, 37.781384674276396","BV"
45,"RU","Moscow","Торговый центр Гагаринский","55.70708994030736, 37.592498476656445","BX"
46,"RU","Moscow","Торговый центр Ереван Плаза","55.70907793096355, 37.62229775152568","BY"
47,"RU","Moscow","Торговый центр Орджоникидзе","55.709186463255534, 37.59444333722746","BZ"
48,"RU","Moscow","Торговый центр Фестиваль","55.67793071523057, 37.467235949671526","CA"
49,"RU","Moscow","Торговый центр Парк 11","55.808006941386985, 37.573722247825394","CB"
50,"RU","Moscow","Торговый центр ЕвроПарк","55.766856764189, 37.382007682217285","CC"
51,"RU","Moscow","Торговый центр Ригамолл","55.799943247721345, 37.274048761316635","CD"
52,"RU","Moscow","Компьютеный центр Эксимер","55.799943247721345, 37.274048761316635","CE"
53,"RU","Moscow","Регард","55.799943247721345, 37.274048761316635","CF"
54,"RU","Moscow","Oldi","55.799943247721345, 37.274048761316635","CX"
55,"RU","Moscow","Биг-компьютерс","55.799943247721345, 37.274048761316635","CY"
56,"RU","Moscow","Торговый центр Европа","55.739834, 37.666058","CZ"
